Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/NL/Rec10;The Member State should specify whether its measures cover recreational activities.;NL;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec11;The Member State should consider developing NIS early warning systems and registries as part of their measures.;NL;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec12;The Member State should cover recreational fishing activities (if relevant). ;NL;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec13;The Member State should address cumulative impacts on habitats by multiple stressors.;NL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec14;The Member State should utilise synergies with MSP for addressing cumulative impacts.;NL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec15;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;NL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec16;The Member State should better explain the manner in which the D8 measures contribute to D9 targets.;NL;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec17;The Member State should make efforts to identify pollution hot spots (e.g. from plastic pellets, lost fishing gear, etc.).;NL;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec18;The Member State should specify how pressures on birds beyond by-catch are addressed (or will be addressed), namely the effects of NIS and ingestion of litter.;NL;D1, 4 – Birds ;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec19;The Member State should specify how pressures on mammals beyond by-catch are addressed (or will be addressed), namely the contaminants and litter.;NL;D1, 4 – Mammals ;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec20;The Member State should more clearly indicate which measures reported under other descriptors address pressures for water column habitats (and plankton), and elaborate on how GES and targets for water column habitats are expected to be achieved.;NL;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec21;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;NL;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec22;The Member State should more clearly indicate which measures reported under other descriptors (such as NIS (D2), eutrophication (D5) and marine litter (D10)) address pressures for seabed habitats, and further elaborate on how GES and targets for seabed habitats are expected to be achieved.;NL;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec23;The Member State should provide more robust justifications for its exceptions, when these are assessed as partially grounded (relevant for D5 and D8). It should also report ad-hoc measures in relation to Article 14(1)(b) and specify when it expects GES to be achieved in relation to Article 14 (1)(e).;NL;Exceptions;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec02;GES and targets definitions should be better addressed for commercial fish and shellfish (D3), eutrophication (D5), hydrographical changes (D7), marine litter (D10), underwater noise and energy (D11), mammals and water column habitats (D1, 4).;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec03;The Member State should strive to determine the timelines for achieving GES for all descriptors, except birds (D1, 4) (the Member State reports that GES will be achieved by 2020).;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec04;The Member State should establish more links with existing EU policies and international instruments for the biodiversity descriptors, hydrographical changes (D7) and underwater noise and energy (D11). ;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec05;The Member State should clearly identify the timelines for implementation for all new measures.;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec06;The Member State should provide more information about its measures and its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs and the conservation objectives of the MPAs) and establish additional ones that have direct effects on the pressures.;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec07;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec08;The Member State should define the spatial scope of all its measures (both existing and new) in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across all marine waters.;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec09;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec10;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;PL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec11;The Member State should address the extraction of species from seaweed and other sea-based food harvesting.;PL;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec12;The Member State should establish measures to tackle nutrient enrichment from solid waste disposal and fishing.;PL;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec13;The Member State should establish measures to tackle hydrographical changes addressing waste disposal, shipping and tourism (identified as relevant by Poland in its Article 8 report). ;PL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec14;The Member State should address cumulative impacts on habitats by multiple stressors.;PL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec15;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, shipping). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;PL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec16;The Member State should address micro-litter better, preferably through direct measures.;PL;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec17;The Member State should establish additional research efforts to address data gaps, increase knowledge and pave the way for direct action.  ;PL;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec18;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;PL;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec19;The Member State should establish direct measures to cover activities that are known to produce high levels of noise, as soon as possible (e.g. marine-based renewable energy, fisheries, defence operations).;PL;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec20;The Member State should consider establishing measures that target other energy inputs if possible (e.g. heat, light).;PL;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec21;The Member State should establish additional and dedicated measures to address pressures on birds beyond by-catch. Measures could target effects of NIS, light pollution as well as litter ingestion. The measures should also cover birds’ food sources. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;PL;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec22;The Member State should establish additional measures, including spatial protection measures, to address relevant pressures on mammals beyond by-catch (e.g. impacts on mammal habitats due to shipping (collisions or underwater noise) or marine litter). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;PL;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/PL/Rec23;The Member State should establish dedicated measures to tackle the pressure associated with water column habitats. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on water column habitats should be explained.;PL;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
